Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IND,Climate Watch,Industrial Processes,CO2,22.35,24.5,25.16,26.6,28.54,31.1,34.08,37.42,39.03,44.59,45.96,46.74,49.11,50.88,55.54,59.69,64.91,68.33,73.24,81.27,86.03,91.31,100.2,107.8,115.8,117.5,123.3,121,139,143.7,122.9,149
IND,Climate Watch,Land-Use Change and Forestry,CO2,-222.3889992,-222.3889992,-222.3889992,-222.3889992,-222.3889992,-222.3731469,-222.3744415,-222.3707789,-222.371422,-222.3862619,-222.4075899,3.6801855,3.6762789,3.6694111,3.6658872,3.6537737,3.6544681,3.6528882,3.6515077,3.6558796,3.6539781,-66.1554256,-66.1572316,-66.1580273,-66.1622018,-66.1633908,-35.5920242,-35.5920338,-35.5910337,-35.6311677,-35.634963,-35.634963
IND,Climate Watch,Energy,CH4,77.3087,79.1977,75.5425,74.8171,75.405,78.5725,79.4828,82.6384,80.63,81.1487,81.7927,81.9799,84.2232,86.4518,89.1203,91.1746,93.6275,96.9836,101.1311,110.8414,114.8729,117.8665,119.2002,119.9403,123.0662,126.3971,127.7883,123.2412,127.612,129.677,124.4449,122.2248
IND,Climate Watch,Electricity/Heat,CH4,0.0764,0.0843,0.0905,0.0979,0.1029,0.1172,0.1253,0.1308,0.1356,0.1492,0.1624,0.1688,0.178,0.1931,0.23,0.2449,0.2899,0.329,0.3258,0.3724,0.4269,0.4606,0.512,0.5379,0.6072,0.5922,0.7235,0.8723,0.879,0.8798,0.8975,0.939
IND,Climate Watch,Building,CH4,28.4476,28.59,28.7209,28.9412,29.1456,29.3469,29.5305,29.7577,29.9287,30.1105,30.3515,29.9493,30.2355,30.4986,30.7915,31.0554,31.3439,31.6642,31.9615,32.2729,32.5784,33.067,33.036,33.0197,32.933,32.8569,32.8463,32.8253,32.7735,32.7919,32.7264,32.6974
IND,Climate Watch,Manufacturing/Construction,CH4,0.7275,0.7781,0.7913,0.8253,0.8988,0.882,0.947,1.0049,1.0299,1.0397,1.0602,1.2668,1.2898,1.2975,1.3823,1.4612,1.5509,1.6782,1.7654,1.9101,2.1187,2.2228,2.2361,2.4384,2.5728,2.6569,2.738,2.9281,3.1097,3.1064,3.1788,3.4194
IND,Climate Watch,Transportation,CH4,0.1789,0.1831,0.1868,0.1967,0.21,0.2352,0.2505,0.2595,0.2744,0.2925,0.3209,0.3425,0.3792,0.4036,0.4357,0.4659,0.499,0.5719,0.6283,0.7262,0.8006,0.8827,0.9061,0.9583,1.0365,1.1585,1.2401,1.3703,1.4896,1.5529,1.4043,1.6469
IND,Climate Watch,Other Fuel Combustion,CH4,0.309,0.3765,0.3555,0.311,0.355,0.3658,0.3885,0.4354,0.2217,0.2891,0.2603,0.263,0.2907,0.314,0.3439,0.3365,0.2715,0.1804,0.6676,0.6044,0.5894,0.2723,0.4906,0.3949,0.475,0.4624,0.4772,0.4954,0.5171,0.4956,0.4723,0.5359
IND,Climate Watch,Fugitive Emissions,CH4,47.5693,49.1857,45.3975,44.445,44.6927,47.6254,48.241,51.0501,49.0397,49.2677,49.6374,49.9895,51.85,53.745,55.9369,57.6107,59.6723,62.5599,65.7825,74.9554,78.3589,80.9611,82.0194,82.5911,85.4417,88.6702,89.7632,84.7498,88.8431,90.8504,85.7656,82.9862
IND,Climate Watch,Industrial Processes,CH4,0,0,0,0,0.05,0.064125,0.07825,0.092375,0.1065,0.120625,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475,0.13475
IND,Climate Watch,Agriculture,CH4,433.9360075,437.5580025,440.1649975,443.69028,446.3691075,448.1177525,451.52546,452.39892,456.3863025,457.7383775,456.4486625,458.395035,449.36731,454.78005,459.060185,470.0343625,476.48226,485.85547,490.36251,481.08583,484.123775,487.565035,484.3758725,487.4929875,487.6531075,489.0952725,491.8573875,496.216485,500.06532,501.06481,508.7907325,513.9170375
IND,Climate Watch,Waste,CH4,22.63750455,23.24687841,23.85625227,24.46562614,25.075,30.509125,35.94325,41.377375,46.8115,52.245625,57.67975,58.044525,58.4093,58.774075,59.13885,59.503625,59.8684,60.233175,60.59795,60.962725,61.3275,62.26760415,63.2077083,64.14781245,65.0879166,66.02802075,66.95612373,67.88422671,68.81232969,69.74043267,70.66853565,71.56643594
IND,Climate Watch,Bunker Fuels,CH4,0.0038,0.0037,0.0039,0.0041,0.0043,0.0047,0.0049,0.005,0.0052,0.0057,0.0059,0.006,0.0062,0.0067,0.0074,0.0082,0.009,0.0102,0.0103,0.0115,0.0114,0.0111,0.0108,0.011,0.0114,0.0121,0.0129,0.0134,0.0139,0.014,0.0123,0.0128
IND,Climate Watch,Land-Use Change and Forestry,CH4,2.29864,2.29864,2.29864,2.29864,2.29864,2.29864,1.2450475,1.0720375,1.087255,2.245875,1.2848575,0.45043,0.30572,1.551475,2.50371,1.51461,1.67478,2.6995125,1.5734425,5.08863,4.1807775,2.0784875,4.9393075,2.924605,2.3933725,1.7330125,2.31495,3.6573125,3.0349275,1.804145,0.9212975,5.2994725
